"route_id","route_desc","route_long_name","stop_name","stop_id","stop_lat","stop_lon"
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Salem Tnpk @ Ballard St","4495",42.449412,-70.980847
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Salem Tnpk @ Ballard St","4495",42.449412,-70.980847
"455","Local Bus","Salem Depot - Wonderland Station","Salem Tnpk @ Ballard St","4495",42.449412,-70.980847
"117","Key Bus","Wonderland Station - Maverick Station via Beach Street","Salem Tnpk @ Ballard St","4495",42.449412,-70.980847
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Broadway @ Ward St","4497",42.422285,-71.003972
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","Broadway @ Ward St","4497",42.422285,-71.003972
"455","Local Bus","Salem Depot - Wonderland Station","Broadway @ Ward St","4497",42.422285,-71.003972
"117","Key Bus","Wonderland Station - Maverick Station via Beach Street","Broadway @ Ward St","4497",42.422285,-71.003972
"426","Local Bus","Central Square, Lynn - Haymarket or Wonderland Station","462 American Legion Hwy","4498",42.420606,-71.003376
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","462 American Legion Hwy","4498",42.420606,-71.003376
"424","Commuter Bus","Eastern Avenue & Essex Street - Wonderland Station","462 American Legion Hwy","4498",42.420606,-71.003376
"455","Local Bus","Salem Depot - Wonderland Station","462 American Legion Hwy","4498",42.420606,-71.003376
"117","Key Bus","Wonderland Station - Maverick Station via Beach Street","462 American Legion Hwy","4498",42.420606,-71.003376
"9","Local Bus","City Point - Copley Station","E Broadway @ G St","45",42.335505,-71.044151
"10","Local Bus","City Point - Copley Square","E Broadway @ G St","45",42.335505,-71.044151
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Milton Ave","450",42.287206,-71.07864
"426","Local Bus","Central Square, Lynn - Haymarket or Wonderland Station","American Legion Hwy @ Revere St","4500",42.416661,-71.003437
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","American Legion Hwy @ Revere St","4500",42.416661,-71.003437
