"route_id","route_desc","route_long_name","stop_name","stop_id","stop_lat","stop_lon"
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","First Ave @ Lynnfield St","4572",42.516396,-70.972292
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Centennial Dr @ First Ave","4573",42.519613,-70.974484
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","5 Centennial Dr","4574",42.521403,-70.970235
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Centennial Dr @ Technology Dr","4575",42.521354,-70.964323
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Centennial Dr @ Corporation Way","4576",42.521992,-70.961154
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Centennial Dr opp Marriott Dr","4577",42.523353,-70.957076
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Centennial Dr opp Rt128 Ramp","4578",42.524241,-70.953577
"23","Key Bus","Ashmont Station - Ruggles Station via Washington Street","Washington St @ Melville Ave","458",42.293402,-71.071785
"435","Local Bus","Liberty Tree Mall - Central Square, Lynn via Peabody Square","Essex Ctr Dr @ Essex Green Dr","4581",42.538654,-70.949024
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Essex Ctr Dr @ Essex Green Dr","4581",42.538654,-70.949024
